"MODEL","ID","Length [µm]","Width [µm]","Thickness [µm]","Resonance Frequency [KHz]","tip radius [nm]","Force Constant [N/m]","Cantilevers density [Kg/m^3]","Volume [µm^3]","",""
"160AC-FG","1","160","40","4","300","10","26","19300","25600","",""
"160AC-GG","2","160","40","4","300","30","26","19300","25600","",""
"160AC-NA","3","160","40","4","300","7","26","2330","25600","",""
"160AC-NG","4","160","40","4","300","7","26","19300","25600","",""
"160AC-NN","5","160","40","4","300","7","26","2330","25600","",""
"160AC-SG","6","160","40","4","300","1","26","19300","25600","",""
"200AC-NA","7","200","40","3.5","135","7","9","2330","28000","",""
"240AC-FG","8","240","40","2.6","70","10","2","19300","24960","",""
"240AC-GG","9","240","40","2.6","70","30","2","19300","24960","",""
"240AC-NA","10","240","40","2.6","70","7","2","2330","24960","",""
"240AC-NG","11","240","40","2.6","70","7","2","19300","24960","",""
"240AC-NN","12","240","40","2.6","70","7","2","2330","24960","",""
"240AC-SG","13","240","40","2.6","70","1","2","19300","24960","",""
"3XC-GG-A","14","500","30","3","17","30","0.3","2330","45000","",""
"3XC-GG-B","15","175","40","3","150","30","9","19300","21000","",""
"3XC-GG-C","16","240","30","3","75","30","2.5","19300","21600","",""
"3XC-NA-B","17","175","40","3","150","7","9","2330","21000","",""
"3XC-NA-C","18","240","30","3","75","7","2.5","2330","21600","",""
"3XC-NN-A","19","500","30","3","17","7","0.3","2330","45000","",""
"3XC-NN-B","20","175","40","3","150","7","9","2330","21000","",""
"3XC-NN-C","21","240","30","3","75","7","2.5","2330","21600","",""
"4XC-GG-B","22","240","30","3","75","30","2.5","19300","21600","",""
"4XC-GG-C","23","175","40","3","150","30","9","19300","21000","",""
"4XC-NN-B","24","240","30","3","75","7","2.5","2330","21600","",""
"4XC-NN-C","25","175","40","3","150","7","9","2330","21000","",""
"55AC-NA","26","65","31","2.9","1200","7","85","2330","5843.5","",""
"55AC-NN","27","65","31","2.9","1200","7","85","2330","5843.5","",""
"All-In-One-A","28","500","30","2.7","15","10","0.2","2330","40500","",""
"All-In-One-Al-A","29","500","30","2.7","15","10","0.2","2330","40500","",""
